user_id,email,password,role
db684d63-eb10-40e0-8c17-3f1670df5877,admin@petprotect.local,<hidden>,ADMIN
81b255fe-c6b9-4f2b-996d-564692489fb0,vet@petprotect.local,<hidden>,VET
78aa7d30-5d6f-4efa-b57a-bce7f9bab93b,owner@petprotect.local,<hidden>,OWNER
124fb1d9-daa3-4b81-9022-6be79133ec4c,allisonhill@hotmail.com.au,jn9Wvgfygw2w,OWNER
d0a706b6-25da-4fc8-9e57-2ba3d3d2a3b1,n.rhodes25@hotmail.com.au,TecQoXsf2o3g,VET
8c5c25c9-3977-47b9-bf9a-4734875eeedb,a.henderson82@gmail.com,kIUpkDyr7OSJ,VET
ff77f4d5-816b-4a27-9e50-37676a1fbbe6,d.wagner@hotmail.com.au,PFz46PDjqipV,ADMIN
90bdff6a-ae1e-4ba9-aee9-224565f99439,cristian.santos@gmail.com,jOkYRBMeyyMD,OWNER
9646e059-f2f6-43a4-aec2-b3753b183b67,connielawrence@gmail.com,GWlG6g3Ot1OG,OWNER
685607d1-321a-4e6e-b545-2851d31d56ba,abigailshaffer@hotmail.com.au,pdp4K8ffUF0e,OWNER
32ffbf4a-3253-4a3f-a96b-499bd9f73f63,g.moore@icloud.com,TtzQPxC5HChp,OWNER
dbe84b6e-c8e9-4431-9a97-52fc5538ab34,g.davis@gmail.com,e5c3veGprQFn,OWNER
6cbe98a4-fcda-4544-950b-9380ff761c9f,ryan.munoz53@hotmail.com.au,D3UdRPPgdzUv,OWNER
cf5c0e42-1221-4430-b80d-847559cd407a,m.herrera13@yahoo.com.au,dPI1af7W2pkA,OWNER
2a6a33aa-2c96-4bd6-81f0-58f7fea5d6e6,jamiearnold@yahoo.com.au,BS9UYJQTFjms,ADMIN
9c98e352-dd30-45e0-9d3b-642cc3200f5c,lisa.hensley@outlook.com,9Gf2leMeR3pz,OWNER
385f2611-d2e4-4a6b-8a38-97d6b95f1ab7,michelewilliams@hotmail.com.au,nQTupqziQPtD,OWNER
a0323b30-3e90-401f-b64d-df7fc3c06b08,dylan.miller@hotmail.com.au,4pxskC1ITtNZ,OWNER
16019e7f-f9a0-446f-9914-df59796b0757,brianramirez@hotmail.com.au,MnTvnRO2qGFq,VET
b275d1a6-a238-444e-9179-736b25196411,holly.wood72@icloud.com,ahe84S5jIc1x,OWNER
b8489550-361a-4467-949c-c70f1ae10075,d.zuniga@hotmail.com.au,RpQgwXJ43ANV,ADMIN
c40924e6-8036-4dc4-a66e-7c8fb9c4c795,lisajackson@outlook.com,kYSgy3c2Eom0,VET
95acb532-f26f-4ebb-82d4-6630a1a4bccc,carlagray@hotmail.com.au,PGzR1Iv8bh4q,ADMIN
ec90c0cc-ac77-4ce1-a742-929b1b60f870,margaret.dds@icloud.com,y5KmqcTBaH7Z,OWNER
9eb1a166-c60a-41eb-85fa-a1dd78228306,pattyperez@icloud.com,QAuzSsJimAQ8,OWNER
467240a7-9f77-4637-96f0-027fff6b8b42,e.adams84@icloud.com,uDCCRnGEY59Y,OWNER
bd2a5739-3078-4330-8d14-d49cb59cfb4e,tommy.walter@outlook.com,cpEN2XeDA4OK,OWNER
d1c3b873-eb3f-4279-8285-e4ad3d543b0b,matthew.foster7@icloud.com,Jp62hDiZDQHJ,OWNER
9c8d36f6-64df-41a9-888e-95d73d4b0c08,judybaker@yahoo.com.au,Wp1OrXXHFOpr,VET
5baba870-0cab-4dbe-964e-37ff9441c4ac,j.baker@outlook.com,eAAvIDAdn1Ay,OWNER
24b42f18-79ec-4783-8229-fa4e919dc663,s.ross96@yahoo.com.au,VIZM5oForBFb,ADMIN
5f90f1ca-b2c3-4a63-a99d-0cdb906eca2d,zachary.hicks@gmail.com,PBi3DldqyunD,OWNER
14b3d96f-fcbf-4476-8a13-53bfa11d3114,anthony.rodriguez@outlook.com,X9PcWb8pm1bN,OWNER
838b92ea-b8c7-44e0-8322-ffef43bc8c8a,r.henderson96@icloud.com,ThX0k9tgLb7t,VET
39fa4b02-c193-45ef-8a65-cb6076528006,james.ferrell@icloud.com,YKYcwIBQxeGP,OWNER
7385942f-6c96-491b-9f0e-fef97785c61b,triciavalencia@icloud.com,NZ6IXEDB0ULr,OWNER
a11af5c4-9d35-4440-82b3-f13e97600722,nathanmaldonado@yahoo.com.au,lFnwZqvr4MS4,OWNER
2a5c131b-5f86-4fab-b8b1-fb4f566a447e,debra.davidson58@yahoo.com.au,YbfsozSptQLx,VET
16846230-8118-4869-89fe-e57b66011ea6,jeffrey.chavez@outlook.com,UmuhVI8WSlmn,OWNER
86e651f6-2150-4f49-b1e9-d3a0f4596fe0,s.baker17@gmail.com,rcdJsS8iO3WF,OWNER
5de9ff05-ec89-48df-b004-3fd8ed3681cc,cassandra.gaines@gmail.com,zFeKORdjjZK8,OWNER
81b0c9d9-7b8d-4f89-b0b3-6e562823feee,elizabeth.fowler57@yahoo.com.au,t3LBtKNdN9Vg,OWNER
0ccc27e9-05c9-486d-b525-0a632c9c4f46,brittany.farmer38@icloud.com,cosTsS3DeRo7,OWNER
